session_id,room_id,card_id,item_ids,entry_time,exit_time,duration,entry_scans,exit_scans,is_anomaly,anomaly_type
sess_00031,room_1,card_6606,"[""SKU-0010"", ""SKU-0001"", ""SKU-0009"", ""SKU-0002"", ""SKU-0006""]",2025-04-10T08:24:02.639951,2025-04-10T08:59:02.639951,35.0,"[""SKU-0010"", ""SKU-0001"", ""SKU-0009"", ""SKU-0002"", ""SKU-0006""]","[""SKU-0010"", ""SKU-0001"", ""SKU-0009"", ""SKU-0002"", ""SKU-0006""]",False,
sess_00032,room_1,card_5302,"[""SKU-0003"", ""SKU-0005"", ""SKU-0011""]",2025-02-22T23:40:02.639951,2025-02-23T00:13:02.639951,33.0,"[""SKU-0003"", ""SKU-0005"", ""SKU-0011""]","[""SKU-0003"", ""SKU-0005"", ""SKU-0011""]",False,
sess_00033,room_1,card_1328,"[""SKU-0003"", ""SKU-0006"", ""SKU-0011"", ""SKU-0001"", ""SKU-0005""]",2025-02-21T17:00:02.639951,2025-02-21T17:53:02.639951,53.0,"[""SKU-0003"", ""SKU-0006"", ""SKU-0011"", ""SKU-0001"", ""SKU-0005""]","[""SKU-0003"", ""SKU-0006"", ""SKU-0011"", ""SKU-0001"", ""SKU-0005""]",False,
sess_00034,room_1,card_3762,"[""SKU-0010""]",2025-08-14T16:07:02.639951,2025-08-14T16:15:02.639951,8.0,"[""SKU-0010""]","[""SKU-0010""]",False,
sess_00035,room_2,card_3919,"[""SKU-0008"", ""SKU-0002"", ""SKU-0001""]",2025-10-24T02:13:02.639951,2025-10-24T02:42:02.639951,29.0,"[""SKU-0008"", ""SKU-0002"", ""SKU-0001""]","[""SKU-0008"", ""SKU-0002"", ""SKU-0001""]",False,
sess_00036,room_2,card_2330,"[""SKU-0007""]",2025-01-14T03:07:02.639951,2025-01-14T03:17:02.639951,10.0,"[""SKU-0007""]","[""SKU-0007""]",False,
sess_00037,room_1,card_3941,"[""SKU-0012"", ""SKU-0010"", ""SKU-0005"", ""SKU-0011""]",2025-01-02T20:17:02.639951,2025-01-02T21:01:02.639951,44.0,"[""SKU-0012"", ""SKU-0010"", ""SKU-0005"", ""SKU-0011""]","[""SKU-0012"", ""SKU-0010"", ""SKU-0005"", ""SKU-0011""]",False,
sess_00038,room_1,card_8822,"[""SKU-0009"", ""SKU-0003""]",2025-09-19T23:04:02.639951,2025-09-19T23:14:02.639951,10.0,"[""SKU-0009"", ""SKU-0003""]","[""SKU-0009"", ""SKU-0003""]",False,
sess_00039,room_2,card_2457,"[""SKU-0002"", ""SKU-0012"", ""SKU-0007"", ""SKU-0006"", ""SKU-0009""]",2025-01-05T21:28:02.639951,2025-01-05T21:55:02.639951,27.0,"[""SKU-0002"", ""SKU-0012"", ""SKU-0007"", ""SKU-0006"", ""SKU-0009""]","[""SKU-0002"", ""SKU-0012"", ""SKU-0007"", ""SKU-0006"", ""SKU-0009""]",False,
sess_00040,room_2,card_2351,"[""SKU-0002"", ""SKU-0007"", ""SKU-0008"", ""SKU-0003""]",2025-03-03T08:43:02.639951,2025-03-03T09:18:02.639951,35.0,"[""SKU-0002"", ""SKU-0007"", ""SKU-0008"", ""SKU-0003""]","[""SKU-0002"", ""SKU-0007"", ""SKU-0008"", ""SKU-0003""]",False,
sess_00041,room_2,card_6322,"[""SKU-0006"", ""SKU-0007"", ""SKU-0003""]",2025-03-29T13:47:02.639951,2025-03-29T14:09:02.639951,22.0,"[""SKU-0006"", ""SKU-0007"", ""SKU-0003""]","[""SKU-0006"", ""SKU-0007"", ""SKU-0003""]",False,
sess_00042,room_2,card_6117,"[""SKU-0012"", ""SKU-0008"", ""SKU-0006"", ""SKU-0007""]",2025-05-19T13:00:02.639951,2025-05-19T13:49:02.639951,49.0,"[""SKU-0012"", ""SKU-0008"", ""SKU-0006"", ""SKU-0007""]","[""SKU-0012"", ""SKU-0008"", ""SKU-0006"", ""SKU-0007""]",False,
sess_00043,room_1,card_2382,"[""SKU-0004"", ""SKU-0010""]",2025-07-24T10:09:02.639951,2025-07-24T10:18:02.639951,9.0,"[""SKU-0004"", ""SKU-0010""]","[""SKU-0004"", ""SKU-0010""]",False,
sess_00044,room_2,card_8270,"[""SKU-0003"", ""SKU-0001"", ""SKU-0008"", ""SKU-0005""]",2025-02-20T17:38:02.639951,2025-02-20T18:14:02.639951,36.0,"[""SKU-0003"", ""SKU-0001"", ""SKU-0008"", ""SKU-0005""]","[""SKU-0003"", ""SKU-0001"", ""SKU-0008"", ""SKU-0005""]",False,
sess_00045,room_2,card_5133,"[""SKU-0002"", ""SKU-0011"", ""SKU-0009""]",2025-04-28T22:12:02.639951,2025-04-28T22:37:02.639951,25.0,"[""SKU-0002"", ""SKU-0011"", ""SKU-0009""]","[""SKU-0002"", ""SKU-0011"", ""SKU-0009""]",False,
sess_00046,room_2,card_1879,"[""SKU-0004"", ""SKU-0003"", ""SKU-0010""]",2025-01-23T05:57:02.639951,2025-01-23T07:00:13.134259,63.17490512782211,"[""SKU-0004"", ""SKU-0003"", ""SKU-0010""]","[""SKU-0004"", ""SKU-0003"", ""SKU-0010""]",True,overstay
sess_00047,room_2,card_9755,"[""SKU-0008"", ""SKU-0009"", ""SKU-0010"", ""SKU-0007"", ""SKU-0003"", ""SKU-0011"", ""SKU-0002""]",2024-11-30T13:34:02.639951,2024-11-30T14:45:02.639951,71.0,"[""SKU-0008"", ""SKU-0009"", ""SKU-0010"", ""SKU-0007"", ""SKU-0003"", ""SKU-0011"", ""SKU-0002""]","[""SKU-0008"", ""SKU-0009"", ""SKU-0010"", ""SKU-0007"", ""SKU-0003"", ""SKU-0011"", ""SKU-0002""]",False,
sess_00048,room_2,card_1710,"[""SKU-0009"", ""SKU-0004"", ""SKU-0005"", ""SKU-0001"", ""SKU-0007""]",2024-12-05T23:03:02.639951,2024-12-05T23:35:02.639951,32.0,"[""SKU-0009"", ""SKU-0004"", ""SKU-0005"", ""SKU-0001"", ""SKU-0007""]","[""SKU-0009"", ""SKU-0004"", ""SKU-0005"", ""SKU-0001"", ""SKU-0007""]",False,
sess_00049,room_2,card_8997,"[""SKU-0008"", ""SKU-0011""]",2025-06-25T09:22:02.639951,2025-06-25T09:38:02.639951,16.0,"[""SKU-0008"", ""SKU-0011""]","[""SKU-0008"", ""SKU-0011""]",False,
sess_00050,room_2,card_4886,"[""SKU-0002"", ""SKU-0001"", ""SKU-0011"", ""SKU-0009""]",2025-07-28T17:35:02.639951,2025-07-28T17:58:02.639951,23.0,"[""SKU-0002"", ""SKU-0001"", ""SKU-0011"", ""SKU-0009""]","[""SKU-0002"", ""SKU-0001"", ""SKU-0011"", ""SKU-0009""]",False,
sess_00051,room_1,card_5614,"[""SKU-0002"", ""SKU-0001"", ""SKU-0011"", ""SKU-0005"", ""SKU-0004""]",2025-03-26T18:16:02.639951,2025-03-26T18:46:02.639951,30.0,"[""SKU-0002"", ""SKU-0001"", ""SKU-0011"", ""SKU-0005"", ""SKU-0004""]","[""SKU-0002"", ""SKU-0001"", ""SKU-0011"", ""SKU-0005"", ""SKU-0004""]",False,
sess_00052,room_2,card_4194,"[""SKU-0012"", ""SKU-0002"", ""SKU-0007"", ""SKU-0005"", ""SKU-0006""]",2025-09-19T22:42:02.639951,2025-09-19T23:03:02.639951,21.0,"[""SKU-0012"", ""SKU-0002"", ""SKU-0007"", ""SKU-0005"", ""SKU-0006""]","[""SKU-0012"", ""SKU-0002"", ""SKU-0007"", ""SKU-0005"", ""SKU-0006""]",False,
sess_00053,room_2,card_5826,"[""SKU-0002"", ""SKU-0003"", ""SKU-0009"", ""SKU-0010""]",2025-05-18T13:49:02.639951,2025-05-18T14:21:02.639951,32.0,"[""SKU-0002"", ""SKU-0003"", ""SKU-0009"", ""SKU-0010""]","[""SKU-0002"", ""SKU-0003"", ""SKU-0009"", ""SKU-0010""]",False,
sess_00054,room_1,card_3016,"[""SKU-0005"", ""SKU-0010"", ""SKU-0007""]",2025-06-08T22:18:02.639951,2025-06-08T22:41:02.639951,23.0,"[""SKU-0005"", ""SKU-0010"", ""SKU-0007""]","[""SKU-0005"", ""SKU-0010"", ""SKU-0007""]",False,
sess_00055,room_2,card_3464,"[""SKU-0002""]",2024-12-27T02:24:02.639951,2024-12-27T02:32:02.639951,8.0,"[""SKU-0002""]","[""SKU-0002""]",False,
sess_00056,room_2,card_4536,"[""SKU-0010"", ""SKU-0003"", ""SKU-0007"", ""SKU-0004"", ""SKU-0009""]",2025-07-24T10:31:02.639951,2025-07-24T11:09:02.639951,38.0,"[""SKU-0010"", ""SKU-0003"", ""SKU-0007"", ""SKU-0004"", ""SKU-0009""]","[""SKU-0010"", ""SKU-0003"", ""SKU-0007"", ""SKU-0004"", ""SKU-0009""]",False,
sess_00057,room_2,card_6475,"[""SKU-0005"", ""SKU-0001""]",2025-09-01T05:33:02.639951,2025-09-01T05:48:02.639951,15.0,"[""SKU-0005"", ""SKU-0001""]","[""SKU-0005"", ""SKU-0001""]",False,
sess_00058,room_2,card_7583,"[""SKU-0001""]",2024-11-11T04:09:02.639951,2024-11-11T04:16:02.639951,7.0,"[""SKU-0001""]","[""SKU-0001""]",False,
sess_00059,room_2,card_5871,"[""SKU-0007"", ""SKU-0009"", ""SKU-0010"", ""SKU-0012"", ""SKU-0005"", ""SKU-0002"", ""SKU-0004""]",2025-08-10T00:55:02.639951,2025-08-10T01:43:02.639951,48.0,"[""SKU-0007"", ""SKU-0009"", ""SKU-0010"", ""SKU-0012"", ""SKU-0005"", ""SKU-0002"", ""SKU-0004""]","[""SKU-0007"", ""SKU-0009"", ""SKU-0010"", ""SKU-0012"", ""SKU-0005"", ""SKU-0002"", ""SKU-0004""]",False,
sess_00060,room_1,card_4510,"[""SKU-0006"", ""SKU-0009"", ""SKU-0010"", ""SKU-0008"", ""SKU-0003"", ""SKU-0004"", ""SKU-0007""]",2025-10-24T17:33:02.639951,2025-10-24T18:46:02.639951,73.0,"[""SKU-0006"", ""SKU-0009"", ""SKU-0010"", ""SKU-0008"", ""SKU-0003"", ""SKU-0004"", ""SKU-0007""]","[""SKU-0006"", ""SKU-0009"", ""SKU-0010"", ""SKU-0008"", ""SKU-0003"", ""SKU-0004"", ""SKU-0007""]",False,
sess_00061,room_1,card_5373,"[""SKU-0009""]",2024-11-13T06:03:02.639951,2024-11-13T06:10:02.639951,7.0,"[""SKU-0009""]","[""SKU-0009""]",False,
sess_00062,room_1,card_7939,"[""SKU-0010"", ""SKU-0003"", ""SKU-0009"", ""SKU-0007"", ""SKU-0006""]",2025-03-08T13:27:02.639951,2025-03-08T14:12:02.639951,45.0,"[""SKU-0010"", ""SKU-0003"", ""SKU-0009"", ""SKU-0007"", ""SKU-0006""]","[""SKU-0010"", ""SKU-0003"", ""SKU-0009"", ""SKU-0007"", ""SKU-0006""]",False,
sess_00063,room_1,card_1194,"[""SKU-0012"", ""SKU-0003"", ""SKU-0005"", ""SKU-0001""]",2024-11-07T02:16:02.639951,2024-11-07T02:51:02.639951,35.0,"[""SKU-0012"", ""SKU-0003"", ""SKU-0005"", ""SKU-0001""]","[""SKU-0012"", ""SKU-0003"", ""SKU-0005"", ""SKU-0001""]",False,
sess_00064,room_2,card_7540,"[""SKU-0011"", ""SKU-0002"", ""SKU-0006"", ""SKU-0010"", ""SKU-0001"", ""SKU-0004""]",2025-03-16T01:25:02.639951,2025-03-16T02:10:02.639951,45.0,"[""SKU-0011"", ""SKU-0002"", ""SKU-0006"", ""SKU-0010"", ""SKU-0001"", ""SKU-0004""]","[""SKU-0011"", ""SKU-0002"", ""SKU-0006"", ""SKU-0010"", ""SKU-0001"", ""SKU-0004""]",False,
sess_00065,room_1,card_2236,"[""SKU-0006"", ""SKU-0007"", ""SKU-0011"", ""SKU-0002"", ""SKU-0004"", ""SKU-0009"", ""SKU-0001""]",2025-10-25T03:17:02.639951,2025-10-25T04:33:02.639951,76.0,"[""SKU-0006"", ""SKU-0007"", ""SKU-0011"", ""SKU-0002"", ""SKU-0004"", ""SKU-0009"", ""SKU-0001""]","[""SKU-0006"", ""SKU-0007"", ""SKU-0011"", ""SKU-0002"", ""SKU-0004"", ""SKU-0009"", ""SKU-0001""]",False,
sess_00066,room_2,card_3957,"[""SKU-0002"", ""SKU-0009"", ""SKU-0006""]",2025-02-15T00:31:02.639951,2025-02-15T00:59:02.639951,28.0,"[""SKU-0002"", ""SKU-0009"", ""SKU-0006""]","[""SKU-0002"", ""SKU-0009"", ""SKU-0006""]",False,
sess_00067,room_1,card_9563,"[""SKU-0009"", ""SKU-0004"", ""SKU-0003"", ""SKU-0001""]",2025-06-01T13:46:02.639951,2025-06-01T14:16:02.639951,30.0,"[""SKU-0009"", ""SKU-0004"", ""SKU-0003"", ""SKU-0001""]","[""SKU-0009"", ""SKU-0004"", ""SKU-0003"", ""SKU-0001""]",False,
sess_00068,room_1,card_5634,"[""SKU-0010"", ""SKU-0011""]",2025-10-01T10:53:02.639951,2025-10-01T11:04:02.639951,11.0,"[""SKU-0010"", ""SKU-0011""]","[""SKU-0010"", ""SKU-0011""]",False,
sess_00069,room_2,card_4228,"[""SKU-0002"", ""SKU-0008"", ""SKU-0001""]",2025-07-26T09:54:02.639951,2025-07-26T10:24:02.639951,30.0,"[""SKU-0002"", ""SKU-0008"", ""SKU-0001""]","[""SKU-0002"", ""SKU-0008"", ""SKU-0001""]",False,
sess_00070,room_2,card_8249,"[""SKU-0011"", ""SKU-0006"", ""SKU-0004"", ""SKU-0012"", ""SKU-0009""]",2025-02-17T23:49:02.639951,2025-02-18T00:25:02.639951,36.0,"[""SKU-0011"", ""SKU-0006"", ""SKU-0004"", ""SKU-0012"", ""SKU-0009""]","[""SKU-0011"", ""SKU-0006"", ""SKU-0004"", ""SKU-0012"", ""SKU-0009""]",False,
sess_00071,room_2,card_6251,"[""SKU-0004"", ""SKU-0007"", ""SKU-0008"", ""SKU-0011""]",2025-04-02T05:23:02.639951,2025-04-02T05:54:02.639951,31.0,"[""SKU-0004"", ""SKU-0007"", ""SKU-0008"", ""SKU-0011""]","[""SKU-0004"", ""SKU-0007"", ""SKU-0008"", ""SKU-0011""]",False,
sess_00072,room_1,card_9563,"[""SKU-0010"", ""SKU-0008"", ""SKU-0006""]",2024-11-18T22:46:02.639951,2024-11-18T23:04:02.639951,18.0,"[""SKU-0010"", ""SKU-0008"", ""SKU-0006""]","[""SKU-0010"", ""SKU-0008"", ""SKU-0006""]",False,
sess_00073,room_1,card_6328,"[""SKU-0009"", ""SKU-0010"", ""SKU-0005"", ""SKU-0006"", ""SKU-0012""]",2024-12-30T20:14:02.639951,2024-12-30T20:49:02.639951,35.0,"[""SKU-0009"", ""SKU-0010"", ""SKU-0005"", ""SKU-0006"", ""SKU-0012""]","[""SKU-0009"", ""SKU-0010"", ""SKU-0005"", ""SKU-0006"", ""SKU-0012""]",False,
sess_00074,room_2,card_3783,"[""SKU-0007"", ""SKU-0005"", ""SKU-0003"", ""SKU-0011"", ""SKU-0008""]",2025-05-12T15:10:02.639951,2025-05-12T15:57:02.639951,47.0,"[""SKU-0007"", ""SKU-0005"", ""SKU-0003"", ""SKU-0011"", ""SKU-0008""]","[""SKU-0007"", ""SKU-0005"", ""SKU-0003"", ""SKU-0011"", ""SKU-0008""]",False,
sess_00075,room_2,card_8881,"[""SKU-0006"", ""SKU-0004"", ""SKU-0007""]",2025-05-27T09:54:02.639951,2025-05-27T10:16:02.639951,22.0,"[""SKU-0006"", ""SKU-0004"", ""SKU-0007""]","[""SKU-0006"", ""SKU-0004"", ""SKU-0007""]",False,
sess_00076,room_2,card_2382,"[""SKU-0007"", ""SKU-0001"", ""SKU-0003"", ""SKU-0006""]",2025-04-02T00:18:02.639951,2025-04-02T00:59:02.639951,41.0,"[""SKU-0007"", ""SKU-0001"", ""SKU-0003"", ""SKU-0006""]","[""SKU-0007"", ""SKU-0001"", ""SKU-0003"", ""SKU-0006""]",False,
sess_00077,room_2,card_8120,"[""SKU-0009"", ""SKU-0003"", ""SKU-0012"", ""SKU-0010""]",2025-03-27T18:06:02.639951,2025-03-27T18:47:02.639951,41.0,"[""SKU-0009"", ""SKU-0003"", ""SKU-0012"", ""SKU-0010""]","[""SKU-0009"", ""SKU-0003"", ""SKU-0012"", ""SKU-0010""]",False,
sess_00078,room_1,card_6950,"[""SKU-0006"", ""SKU-0005"", ""SKU-0003"", ""SKU-0009""]",2025-01-21T19:09:02.639951,2025-01-21T19:51:02.639951,42.0,"[""SKU-0006"", ""SKU-0005"", ""SKU-0003"", ""SKU-0009""]","[""SKU-0006"", ""SKU-0005"", ""SKU-0003"", ""SKU-0009""]",False,
sess_00079,room_2,card_8933,"[""SKU-0004"", ""SKU-0010"", ""SKU-0008"", ""SKU-0002""]",2025-09-14T16:12:02.639951,2025-09-14T16:55:02.639951,43.0,"[""SKU-0004"", ""SKU-0010"", ""SKU-0008"", ""SKU-0002""]","[""SKU-0004"", ""SKU-0010"", ""SKU-0008"", ""SKU-0002""]",False,
sess_00080,room_1,card_5545,"[""SKU-0005""]",2025-04-21T05:20:02.639951,2025-04-21T05:29:02.639951,9.0,"[""SKU-0005""]","[""SKU-0005""]",False,
sess_00081,room_1,card_2222,"[""SKU-0004"", ""SKU-0009"", ""SKU-0011""]",2024-11-23T13:30:02.639951,2024-11-23T13:56:02.639951,26.0,"[""SKU-0004"", ""SKU-0009"", ""SKU-0011""]","[""SKU-0004"", ""SKU-0009"", ""SKU-0011""]",False,
sess_00082,room_1,card_7640,"[""SKU-0008"", ""SKU-0012"", ""SKU-0005"", ""SKU-0009""]",2025-09-03T11:24:02.639951,2025-09-03T12:06:02.639951,42.0,"[""SKU-0008"", ""SKU-0012"", ""SKU-0005"", ""SKU-0009""]","[""SKU-0008"", ""SKU-0012"", ""SKU-0005"", ""SKU-0009""]",False,
